Item,Price,Stats,Type,Weight,Special
Leather Jacket,30,"{'AC':1 ,""Dex"":99}",Armor,8 lb.,N/A
Hockey Pads,40,"{'AC':2 ,""Dex"":99}",Armor,10 lb.,N/A
Light Undercover Shirt,45,"{'AC':2, ""Dex"":99}",Armor,13 lb.,N/A
Hide,10,"{'AC':2, ""Dex"":2}",Armor,12 lb.,N/A
Kevlar Vest,500,"{'AC':3, ""Dex"":4}",Armor,20 lb.,N/A
Kevlar Armor,1500,"{'AC':4, ""Dex"":4}",Armor,45 lb.,N/A
Shield,10,"{'AC':2, ""Dex"":0}",Armor,6 lb.,N/A
Dagger,15,"{""Damage"":'1d4'}",Weapon,2 lb.,N/A
Handaxe,10,"{""Damage"":'1d6'}",Weapon,1 lb.,N/A
Light hammer,12,"{""Damage"":'1d4'}",Weapon,3 lb.,N/A
Beretta 92F,100,"{""Damage"":'2d8'}",Weapon,2 lb.,N/A
Beretta M3P,650,"{""Damage"":'2d8'}",Weapon,2 lb.,N/A
Browning BPS 10-gauge,700,"{""Damage"":'2d10'}",Weapon,2 lb.,N/A
Compound Bow,150,"{""Damage"":'2d8'}",Weapon,4 lb.,N/A
Derringer .45,500,"{""Damage"":'2d6'}",Weapon,4 lb.,N/A
Mossberg,350,"{""Damage"":'2d8'}",Weapon,2 lb.,N/A
S&W M29,850,"{""Damage"":'2d8'}",Weapon,2 lb.,N/A
Sawed-off,575,"{""Damage"":'2d8'}",Weapon,5 lb.,N/A
AK-47 7.62x39mm,575,"{""Damage"":'2d8'}",Weapon,8 lb.,N/A
M16 5.56 Assult Rifle,650,"{""Damage"":'2d8'}",Weapon,2 lb.,N/A
TEC-9,475,"{""Damage"":'10d6'}",Weapon,0 lb.,N/A
M72A3,575,"{""Damage"":'2d6'}",Weapon,4 lb.,N/A
Gloc.,500,"{""Damage"":'2d6'}",Weapon,1 lb.,N/A
Baton,25,"{""Damage"":'1d6'}",Weapon,2 lb,N/A
Net,1,"{""Damage"":'1d4'}",Weapon,3 lb.,N/A
Abacus,2,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Acid (vial),25,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Arrows (20),1,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Blowgun needles (50),1,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Crossbow bolts (20),1,"{""NA"":""NA""}",Adventuring Gear,1.5 lb.,N/A
Sling bullets (20),0.04,"{""NA"":""NA""}",Adventuring Gear,1.5 lb.,N/A
Antitoxin (vial),50,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Backpack,2,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
"Ball bearings (bag o f 1,000)",1,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Barrel,2,"{""NA"":""NA""}",Adventuring Gear,70 lb.,N/A
Basket,0.4,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Bedroll,1,"{""NA"":""NA""}",Adventuring Gear,7 lb.,N/A
Bell,1,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Blanket,0.5,"{""NA"":""NA""}",Adventuring Gear,3 lb.,N/A
Block and tackle,1,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
Book,25,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
"Bottle, glass",2,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Bucket,0.05,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Caltrops (bag of 20),1,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Candle,0.01,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
"Case, crossbow bolt",1,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
"Case, map or scroll",1,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Chain (10 feet),5,"{""NA"":""NA""}",Adventuring Gear,10 lb.,N/A
Chalk (1 piece),0.01,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Chest,5,"{""NA"":""NA""}",Adventuring Gear,25 lb.,N/A
Climbers kit,25,"{""NA"":""NA""}",Adventuring Gear,12 lb.,N/A
"Clothes, common",0.5,"{""NA"":""NA""}",Adventuring Gear,3 lb.,N/A
"Clothes, costume",5,"{""NA"":""NA""}",Adventuring Gear,4 lb.,N/A
"Clothes, fine",15,"{""NA"":""NA""}",Adventuring Gear,6 lb.,N/A
"Clothes, travelers",2,"{""NA"":""NA""}",Adventuring Gear,4 lb.,N/A
Component pouch,25,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Crowbar,2,"{""NA"":""NA""}",Adventuring Gear,5 lb.,N/A
Fishing tackle,1,"{""NA"":""NA""}",Adventuring Gear,4 lb.,N/A
Flask or tankard,0.02,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Grappling hook,2,"{""NA"":""NA""}",Adventuring Gear,4 lb.,N/A
Hammer,1,"{""NA"":""NA""}",Adventuring Gear,3 lb.,N/A
"Hammer, sledge",2,"{""NA"":""NA""}",Adventuring Gear,10 lb.,N/A
Healers kit,5,"{""NA"":""NA""}",Adventuring Gear,3 lb.,N/A
Holy symbol: Amulet,5,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Hourglass,25,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Hunting trap,5,"{""NA"":""NA""}",Adventuring Gear,25 lb.,N/A
Ink (1 ounce bottle),10,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Ink pen,0.02,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Jug or pitcher,0.02,"{""NA"":""NA""}",Adventuring Gear,4 lb.,N/A
Ladder (10-foot),0.1,"{""NA"":""NA""}",Adventuring Gear,25 lb.,N/A
Lamp,0.5,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
"Lantern, bullseye",10,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
"Lantern, hooded",5,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
Lock,10,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Magnifying glass,100,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Manacles,2,"{""NA"":""NA""}",Adventuring Gear,6 lb.,N/A
Mess kit,0.2,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
"Mirror, steel",5,"{""NA"":""NA""}",Adventuring Gear,0.5 lb.,N/A
Oil (flask),0.1,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Paper (one sheet),0.2,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Parchment (one sheet),0.1,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Perfume (vial),5,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
"Pick, miners",2,"{""NA"":""NA""}",Adventuring Gear,10 lb.,N/A
Piton,0.05,"{""NA"":""NA""}",Adventuring Gear,0.25 lb.,N/A
"Poison, basic (vial)",100,"{""NA"":""NA""}",Adventuring Gear,0 lb.,N/A
Pole (10-foot),0.05,"{""NA"":""NA""}",Adventuring Gear,7 lb.,N/A
"Pot, iron",2,"{""NA"":""NA""}",Adventuring Gear,10 lb.,N/A
Potion of healing,50,"{""NA"":""NA""}",Adventuring Gear,0.5 lb.,N/A
Pouch,0.5,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
Quiver,1,"{""NA"":""NA""}",Adventuring Gear,1 lb.,N/A
"Ram, portable",4,"{""NA"":""NA""}",Adventuring Gear,35 lb.,N/A
Rations (1 day),0.5,"{""NA"":""NA""}",Adventuring Gear,2 lb.,N/A
