"","Spell","Level"
"1","Animal Friendship","1"
"2","Animal Messenger (Ritual)","2"
"3","Animate Objects","5"
"4","Awaken","5"
"5","Bane","1"
"6","Bestow Curse","3"
"7","Blade Ward","0"
"8","Blindness/Deafness","2"
"9","Calm Emotions","2"
"10","Charm Person","1"
"11","Clairvoyance","3"
"12","Cloud of Daggers","2"
"13","Comprehend Languages (Ritual)","1"
"14","Compulsion","4"
"15","Confusion","4"
"16","Crown of Madness","2"
"17","Cure Wounds","1"
"18","Dancing Lights","0"
"19","Detect Magic (Ritual)","1"
"20","Detect Thoughts","2"
"21","Dimension Door","4"
"22","Disguise Self","1"
"23","Dispel Magic","3"
"24","Dissonant Whispers","1"
"25","Dominate Monster","8"
"26","Dominate Person","5"
"27","Dream","5"
"28","Earth Tremor ","1"
"29","Enhance Ability","2"
"30","Enthrall","2"
"31","Etherealness","7"
"32","Eyebite","6"
"33","Faerie Fire","1"
"34","Fear","3"
"35","Feather Fall","1"
"36","Feeblemind","8"
"37","Feign Death (Ritual)","3"
"38","Find the Path","6"
"39","Forcecage","7"
"40","Foresight","9"
"41","Freedom of Movement","4"
"42","Friends","0"
"43","Geas","5"
"44","Glibness","8"
"45","Glyph of Warding","3"
"46","Greater Invisibility","4"
"47","Greater Restoration","5"
"48","Guards and Wards","6"
"49","Hallucinatory Terrain","4"
"50","Healing Word","1"
"51","Heat Metal","2"
"52","Heroism","1"
"53","Hold Monster","5"
"54","Hold Person","2"
"55","Hypnotic Pattern","3"
"56","Identify (Ritual)","1"
"57","Illusory Script (Ritual)","1"
"58","Invisibility","2"
"59","Knock","2"
"60","Legend Lore","5"
"61","Leomund's Tiny Hut (Ritual)","3"
"62","Lesser Restoration","2"
"63","Light","0"
"64","Locate Animals or Plants (Ritual)","2"
"65","Locate Creature","4"
"66","Locate Object","2"
"67","Longstrider","1"
"68","Mage Hand","0"
"69","Magic Mouth (Ritual)","2"
"70","Major Image","3"
"71","Mass Cure Wounds","5"
"72","Mass Suggestion","6"
"73","Mending","0"
"74","Message","0"
"75","Mind Blank","8"
"76","Minor Illusion","0"
"77","Mirage Arcane","7"
"78","Mislead","5"
"79","Modify Memory","5"
"80","Mordenkainen's Magnificent Mansion","7"
"81","Mordenkainen's Sword","7"
"82","Nondetection","3"
"83","Otto's Irresistible Dance","6"
"84","Phantasmal Force","2"
"85","Planar Binding","5"
"86","Plant Growth","3"
"87","Polymorph","4"
"88","Power Word Heal","9"
"89","Power Word Kill","9"
"90","Power Word Stun","8"
"91","Prestidigitation","0"
"92","Programmed Illusion","6"
"93","Project Image","7"
"94","Pyrotechnics","2"
"95","Raise Dead","5"
"96","Regenerate","7"
"97","Resurrection","7"
"98","Scrying","5"
"99","See invisibility","2"
"100","Seeming","5"
"101","Sending","3"
"102","Shatter","2"
"103","Silence (Ritual)","2"
"104","Silent Image","1"
"105","Skywrite (Ritual)","2"
"106","Sleep","1"
"107","Speak with Animals (Ritual)","1"
"108","Speak with Dead","3"
"109","Speak with Plants","3"
"110","Stinking Cloud","3"
"111","Suggestion","2"
"112","Symbol","7"
"113","Tasha's Hideous Laughter","1"
"114","Teleport","7"
"115","Teleportation Circle","5"
"116","Thunderclap","0"
"117","Thunderwave","1"
"118","Tongues","3"
"119","True Polymorph","9"
"120","True Seeing","6"
"121","True Strike","0"
"122","Unseen Servant (Ritual)","1"
"123","Vicious Mockery","0"
"124","Warding Wind","2"
"125","Zone of Truth","2"
