"","Spell","Level"
"1","Aid","2"
"2","Animate Dead","3"
"3","Antimagic Field","8"
"4","Astral Projection","9"
"5","Augury (Ritual)","2"
"6","Bane","1"
"7","Banishment","4"
"8","Beacon of Hope","3"
"9","Bestow Curse","3"
"10","Blade Barrier","6"
"11","Bless","1"
"12","Blindness/Deafness","2"
"13","Calm Emotions","2"
"14","Clairvoyance","3"
"15","Command","1"
"16","Commune (Ritual)","5"
"17","Conjure Celestial","7"
"18","Contagion","5"
"19","Continual Flame","2"
"20","Control Water","4"
"21","Control Weather","8"
"22","Create Food and Water","3"
"23","Create or Destroy Water","1"
"24","Create Undead","6"
"25","Cure Wounds","1"
"26","Daylight","3"
"27","Death Ward","4"
"28","Detect Evil and Good","1"
"29","Detect Magic (Ritual)","1"
"30","Detect Poison and Disease","1"
"31","Dispel Evil and Good","5"
"32","Dispel Magic","3"
"33","Divination (Ritual)","4"
"34","Divine Word","7"
"35","Earthquake","8"
"36","Enhance Ability","2"
"37","Etherealness","7"
"38","Feign Death (Ritual)","3"
"39","Find the Path","6"
"40","Find Traps","2"
"41","Fire Storm","7"
"42","Flame Strike","5"
"43","Forbiddance (Ritual)","6"
"44","Freedom of Movement","4"
"45","Gate","9"
"46","Geas","5"
"47","Gentle Repose (Ritual)","2"
"48","Glyph of Warding","3"
"49","Greater Restoration","5"
"50","Guardian of Faith","4"
"51","Guidance","0"
"52","Guiding Bolt","1"
"53","Hallow","5"
"54","Harm","6"
"55","Heal","6"
"56","Healing Word","1"
"57","Heroes' Feast","6"
"58","Hold Person","2"
"59","Holy Aura","8"
"60","Inflict Wounds","1"
"61","Insect Plague","5"
"62","Legend Lore","5"
"63","Lesser Restoration","2"
"64","Light","0"
"65","Locate Creature","4"
"66","Locate Object","2"
"67","Magic Circle","3"
"68","Mass Cure Wounds","5"
"69","Mass Heal","9"
"70","Mass Healing Word","3"
"71","Meld into Stone (Ritual)","3"
"72","Mending","0"
"73","Planar Ally","6"
"74","Planar Binding","5"
"75","Plane Shift","7"
"76","Prayer of Healing","2"
"77","Protection from Energy","3"
"78","Protection from Evil and Good","1"
"79","Protection from Poison","2"
"80","Purify Food and Drink (Ritual)","1"
"81","Raise Dead","5"
"82","Regenerate","7"
"83","Remove Curse","3"
"84","Resistance","0"
"85","Resurrection","7"
"86","Revivify","3"
"87","Sacred Flame","0"
"88","Sanctuary","1"
"89","Scrying","5"
"90","Sending","3"
"91","Shield of Faith","1"
"92","Silence (Ritual)","2"
"93","Spare the Dying","0"
"94","Speak with Dead","3"
"95","Spirit Guardians","3"
"96","Spiritual Weapon","2"
"97","Stone Shape","4"
"98","Symbol","7"
"99","Thaumaturgy","0"
"100","Tongues","3"
"101","True Resurrection","9"
"102","True Seeing","6"
"103","Warding Bond","2"
"104","Water Walk (Ritual)","3"
"105","Word of Recall","6"
"106","Zone of Truth","2"
