"","Spell","Level"
"1","Aid","2"
"2","Aura of Life","4"
"3","Aura of Purity","4"
"4","Aura of Vitality","3"
"5","Banishing Smite","5"
"6","Banishment","4"
"7","Bless","1"
"8","Blinding Smite","3"
"9","Branding Smite","2"
"10","Circle of Power","5"
"11","Command","1"
"12","Compelled Duel","1"
"13","Create Food and Water","3"
"14","Crusader's Mantle","3"
"15","Cure Wounds","1"
"16","Daylight","3"
"17","Death Ward","4"
"18","Destructive Wave","5"
"19","Detect Evil and Good","1"
"20","Detect Magic (Ritual)","1"
"21","Detect Poison and Disease","1"
"22","Dispel Evil and Good","5"
"23","Dispel Magic","3"
"24","Divine Favor","1"
"25","Elemental Weapon","3"
"26","Find Steed","2"
"27","Geas","5"
"28","Heroism","1"
"29","Lesser Restoration","2"
"30","Locate Creature","4"
"31","Locate Object","2"
"32","Magic Circle","3"
"33","Magic Weapon","2"
"34","Protection from Evil and Good","1"
"35","Protection from Poison","2"
"36","Purify Food and Drink (Ritual)","1"
"37","Raise Dead","5"
"38","Remove Curse","3"
"39","Revivify","3"
"40","Searing Smite","1"
"41","Shield of Faith","1"
"42","Staggering Smite","4"
"43","Thunderous Smite","1"
"44","Wrathful Smite","1"
"45","Zone of Truth","2"
