Spell,Level
Absorb Elements ,1
Alarm (Ritual),1
Animal Friendship,1
Animal Messenger (Ritual),2
Barkskin,2
Beast Bond,1
Beast Sense (Ritual),2
Commune with Nature (Ritual),5
Conjure Animals,3
Conjure Barrage,3
Conjure Volley,5
Conjure Woodland Beings,4
Cordon of Arrows,2
Cure Wounds,1
Darkvision,2
Daylight,3
Detect Magic (Ritual),1
Detect Poison and Disease,1
Ensnaring Strike,1
Find Traps,2
Flame Arrows,3
Fog Cloud,1
Freedom of Movement,4
Goodberry,1
Grasping Vine,4
Hail of Thorns,1
Hunter's Mark,1
Jump,1
Lesser Restoration,2
Lightning Arrow,3
Locate Animals or Plants (Ritual),2
Locate Creature,4
Locate Object,2
Longstrider,1
Nondetection,3
Pass Without Trace,2
Plant Growth,3
Protection from Energy,3
Protection from Poison,2
Silence (Ritual),2
Speak with Animals (Ritual),1
Speak with Plants,3
Spike Growth,2
Stoneskin,4
Swift Quiver,5
Tree Stride,5
Water Breathing (Ritual),3
Water Walk (Ritual),3
Wind Wall,3
