Spell,Level
Abi-Dalzim’s Horrid Wilting(Open in new window),8
Absorb Elements(Open in new window),1
Acid Splash(Open in new window),0
Aganazzar’s Scorcher(Open in new window),2
Alarm (Ritual)(Open in new window),1
Alter Self(Open in new window),2
Animate Dead(Open in new window),3
Animate Objects(Open in new window),5
Antimagic Field(Open in new window),8
Antipathy/Sympathy(Open in new window),8
Arcane Eye(Open in new window),4
Arcane Gate(Open in new window),6
Arcane Lock(Open in new window),2
Astral Projection(Open in new window),9
Banishment(Open in new window),4
Bestow Curse(Open in new window),3
Bigby’s Hand(Open in new window),5
Blade Ward(Open in new window),0
Blight(Open in new window),4
Blindness/Deafness(Open in new window),2
Blink(Open in new window),3
Blur(Open in new window),2
Booming Blade(Open in new window),0
Burning Hands(Open in new window),1
Catapult(Open in new window),1
Chain Lightning(Open in new window),6
Charm Person(Open in new window),1
Chill Touch(Open in new window),0
Chromatic Orb(Open in new window),1
Circle of Death(Open in new window),6
Clairvoyance(Open in new window),3
Clone(Open in new window),8
Cloud of Daggers(Open in new window),2
Cloudkill(Open in new window),5
Color Spray(Open in new window),1
Comprehend Languages (Ritual)(Open in new window),1
Cone of Cold(Open in new window),5
Confusion(Open in new window),4
Conjure Elemental(Open in new window),5
Conjure Minor Elementals(Open in new window),4
Contact Other Plane (Ritual)(Open in new window),5
Contingency(Open in new window),6
Continual Flame(Open in new window),2
Control Flames(Open in new window),0
Control Water(Open in new window),4
Control Weather(Open in new window),8
Control Winds(Open in new window),5
Counterspell(Open in new window),3
Create Bonfire(Open in new window),0
Create Undead(Open in new window),6
Creation(Open in new window),5
Crown of Madness(Open in new window),2
Dancing Lights(Open in new window),0
Darkness(Open in new window),2
Darkvision(Open in new window),2
Delayed Blast Fireball(Open in new window),7
Demiplane(Open in new window),8
Detect Magic (Ritual)(Open in new window),1
Detect Thoughts(Open in new window),2
Dimension Door(Open in new window),4
Disguise Self(Open in new window),1
Disintegrate(Open in new window),6
Dispel Magic(Open in new window),3
Dominate Monster(Open in new window),8
Dominate Person(Open in new window),5
